video_id,trending_date,channel_title,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,state,lat,lon,geometry,category
zUZ1z7FwLc8,2017-11-14,HJ NEWS,25,590101,735,904,0,VERDADERO,FALSO,Arunachal Pradesh,27.10039878,93.61660071,POINT (93.61660071 27.10039878),News & Politics
10L1hZ9qa58,2017-11-14,TFPC,24,473988,2011,243,149,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Entertainment
kJzGH0PVQHQ,2017-11-14,Filmylooks,24,464015,492,293,66,FALSO,FALSO,Himachal Pradesh,31.10002545,77.16659704,POINT (77.16659704 31.10002545),Entertainment
KObFEYCaRx8,2017-11-14,Top Telugu Media,24,118223,520,53,23,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
Prb_osSVE0M,2017-11-14,ABN Telugu,25,156085,716,53,0,VERDADERO,FALSO,Manipur,24.79997072,93.95001705,POINT (93.95001705 24.79997072),News & Politics
KHxdrECEsD0,2017-11-14,The Voice India Kids,24,472413,2611,250,174,FALSO,FALSO,Uttaranchal,30.32040895,78.05000565,POINT (78.05000565 30.32040895),Entertainment
7gShaSuK_PY,2017-11-14,Next Gen,22,89531,238,59,18,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),People & Blogs
0SMKG3SRGzQ,2017-11-14,TV9 Telugu,19,176472,588,52,23,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Travel & Events
znOC3IU0dF8,2017-11-14,News Mantra,24,55178,45,94,15,FALSO,FALSO,Rajasthan,26.44999921,74.63998124,POINT (74.63998124 26.44999921),Entertainment
z3V9LUA6VQM,2017-11-14,OmFut,24,236710,858,197,66,FALSO,FALSO,Rajasthan,26.44999921,74.63998124,POINT (74.63998124 26.44999921),Entertainment
tFM-GNSeXzw,2017-11-14,Hindi Khabar,25,85432,114,91,13,FALSO,FALSO,Delhi,28.6699929,77.23000403,POINT (77.23000403 28.6699929),News & Politics
MF9ovM9y0PE,2017-11-14,DREAMS N BEYOND,1,249423,7861,68,364,FALSO,FALSO,Karnataka,12.57038129,76.91999711,POINT (76.91999711 12.57038129),Film & Animation
EJVvdjDGnak,2017-11-14,Top Telugu TV,24,256199,318,123,35,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
Ukjn7A9L7vY,2017-11-14,SDI Channel,27,137438,3926,249,131,FALSO,FALSO,Nagaland,25.6669979,94.11657019,POINT (94.11657019 25.6669979),Education
gW4Su5wq0b8,2017-11-14,Vijay Television,24,261202,1971,126,201,FALSO,FALSO,Nagaland,25.6669979,94.11657019,POINT (94.11657019 25.6669979),Entertainment
P-pycrmifwU,2017-11-14,NewsQube,24,423009,1514,347,118,FALSO,FALSO,Rajasthan,26.44999921,74.63998124,POINT (74.63998124 26.44999921),Entertainment
jElRtesCnlA,2017-11-14,Sathiyam News,25,33533,0,0,10,FALSO,VERDADERO,Himachal Pradesh,31.10002545,77.16659704,POINT (77.16659704 31.10002545),News & Politics
q3eBCWAwVpo,2017-11-14,NTV Telugu,25,75834,160,15,9,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),News & Politics
qP67alYxSiU,2017-11-14,HOTNEWS TELUGU,26,128851,0,0,0,VERDADERO,VERDADERO,Meghalaya,25.57049217,91.8800142,POINT (91.88001420000001 25.57049217),Howto & Style
pbFr2Vb5hK0,2017-11-14,Gopi Sundar Music Company,10,56430,244,94,43,FALSO,FALSO,Punjab,31.51997398,75.98000281,POINT (75.98000281 31.51997398),Music
Yvp9jUJtMuY,2017-11-14,ETV Plus India,23,309490,1560,200,108,FALSO,FALSO,Maharashtra,19.25023195,73.16017493,POINT (73.16017493 19.25023195),Comedy
